VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	term	shortname	P_adjusted	significant_P_adj	tissue_name
Cervix_Ectocervix	COVAR	17349	-0.0017325	-0.0033968	0.0072251	0.59475	Cervix_Ectocervix	f680.4	Rent private housing	1	FALSE	Cervix Ectocervix
Cervix_Endocervix	COVAR	17349	-0.0062464	-0.012369	0.0068851	0.81785	Cervix_Endocervix	f680.4	Rent private housing	1	FALSE	Cervix Endocervix
Colon_Sigmoid	COVAR	17349	-0.0084286	-0.016492	0.0074821	0.87002	Colon_Sigmoid	f680.4	Rent private housing	1	FALSE	Colon Sigmoid
Colon_Transverse	COVAR	17349	0.0029651	0.0054535	0.0068903	0.33348	Colon_Transverse	f680.4	Rent private housing	1	FALSE	Colon Transverse
Esophagus_Gastroesophageal_J...	COVAR	17349	-0.0090746	-0.017867	0.0076625	0.88184	Esophagus_Gastroesophageal_Junction	f680.4	Rent private housing	1	FALSE	Esophagus Gastroesophageal Junction
Esophagus_Mucosa	COVAR	17349	0.0089099	0.017229	0.0045641	0.025468	Esophagus_Mucosa	f680.4	Rent private housing	0.662168	FALSE	Esophagus Mucosa
Esophagus_Muscularis	COVAR	17349	-0.0087958	-0.017352	0.0074313	0.88171	Esophagus_Muscularis	f680.4	Rent private housing	1	FALSE	Esophagus Muscularis
Fallopian_Tube	COVAR	17349	-0.004918	-0.0095438	0.0070651	0.75681	Fallopian_Tube	f680.4	Rent private housing	1	FALSE	Fallopian Tube
Heart_Atrial_Appendage	COVAR	17349	-0.006098	-0.01095	0.005786	0.85404	Heart_Atrial_Appendage	f680.4	Rent private housing	1	FALSE	Heart Atrial Appendage
Heart_Left_Ventricle	COVAR	17349	-0.011031	-0.018412	0.0054859	0.97781	Heart_Left_Ventricle	f680.4	Rent private housing	1	FALSE	Heart Left Ventricle
Kidney_Cortex	COVAR	17349	-0.00032369	-0.00056892	0.0053877	0.52395	Kidney_Cortex	f680.4	Rent private housing	1	FALSE	Kidney Cortex
Kidney_Medulla	COVAR	17349	-0.0046851	-0.0086668	0.0055562	0.80044	Kidney_Medulla	f680.4	Rent private housing	1	FALSE	Kidney Medulla
