VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	term	shortname	P_adjusted	significant_P_adj	tissue_name
Brain	COVAR	17344	0.011662	0.020257	0.0045314	0.0050358	f904	Vigorous physical activity frequency	0.1309308	FALSE	Brain
Breast	COVAR	17344	-0.015102	-0.029047	0.010507	0.92468	f904	Vigorous physical activity frequency	1	FALSE	Breast
Cervix_Uteri	COVAR	17344	0.0053456	0.010504	0.009381	0.2844	f904	Vigorous physical activity frequency	1	FALSE	Cervix Uteri
Colon	COVAR	17344	-0.014494	-0.02714	0.010432	0.91764	f904	Vigorous physical activity frequency	1	FALSE	Colon
Esophagus	COVAR	17344	-0.011526	-0.021719	0.01139	0.84421	f904	Vigorous physical activity frequency	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17344	-0.0056709	-0.011004	0.0091822	0.73158	f904	Vigorous physical activity frequency	1	FALSE	Fallopian Tube
Heart	COVAR	17344	-0.0098549	-0.01696	0.0063308	0.94021	f904	Vigorous physical activity frequency	1	FALSE	Heart
Kidney	COVAR	17344	-0.0020726	-0.0036476	0.0062263	0.63039	f904	Vigorous physical activity frequency	1	FALSE	Kidney
Liver	COVAR	17344	0.00056138	0.0010109	0.0043151	0.44825	f904	Vigorous physical activity frequency	1	FALSE	Liver
Lung	COVAR	17344	-0.0023565	-0.0045571	0.0069771	0.63222	f904	Vigorous physical activity frequency	1	FALSE	Lung
Muscle	COVAR	17344	-0.0028025	-0.0053009	0.0045226	0.73226	f904	Vigorous physical activity frequency	1	FALSE	Muscle
Nerve	COVAR	17344	0.00039739	0.00079997	0.0069064	0.47706	f904	Vigorous physical activity frequency	1	FALSE	Nerve
Ovary	COVAR	17344	-0.0012378	-0.0025095	0.0067841	0.57239	f904	Vigorous physical activity frequency	1	FALSE	Ovary
Pancreas	COVAR	17344	-0.00094271	-0.0015764	0.0057364	0.56527	f904	Vigorous physical activity frequency	1	FALSE	Pancreas
Pituitary	COVAR	17344	0.012617	0.023525	0.0055031	0.010936	f904	Vigorous physical activity frequency	0.284336	FALSE	Pituitary
Prostate	COVAR	17344	0.0055644	0.01056	0.009176	0.27213	f904	Vigorous physical activity frequency	1	FALSE	Prostate
Salivary_Gland	COVAR	17344	-0.012508	-0.023285	0.007159	0.95968	f904	Vigorous physical activity frequency	1	FALSE	Salivary Gland
Skin	COVAR	17344	-0.0079273	-0.015121	0.006694	0.88184	f904	Vigorous physical activity frequency	1	FALSE	Skin
Small_Intestine	COVAR	17344	-0.0096233	-0.017701	0.0070817	0.9129	f904	Vigorous physical activity frequency	1	FALSE	Small Intestine
Spleen	COVAR	17344	0.0059584	0.011811	0.0051843	0.12522	f904	Vigorous physical activity frequency	1	FALSE	Spleen
Stomach	COVAR	17344	-0.0036686	-0.0066664	0.0089448	0.65915	f904	Vigorous physical activity frequency	1	FALSE	Stomach
Testis	COVAR	17344	0.005524	0.0095396	0.0036762	0.066476	f904	Vigorous physical activity frequency	1	FALSE	Testis
Thyroid	COVAR	17344	-0.012852	-0.025451	0.0071826	0.96321	f904	Vigorous physical activity frequency	1	FALSE	Thyroid
Uterus	COVAR	17344	-0.003551	-0.0072363	0.0079653	0.67213	f904	Vigorous physical activity frequency	1	FALSE	Uterus
Vagina	COVAR	17344	8.9572e-05	0.00017134	0.0084343	0.49576	f904	Vigorous physical activity frequency	1	FALSE	Vagina
Adipose_Tissue	COVAR	17359	-0.011746	-0.023073	0.0098235	0.88409	f924	Walking pace	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17359	0.013086	0.025275	0.0075419	0.041369	f924	Walking pace	1	FALSE	Adrenal Gland
Bladder	COVAR	17359	-0.032408	-0.063202	0.011871	0.99683	f924	Walking pace	1	FALSE	Bladder
Blood	COVAR	17359	-0.0072278	-0.012984	0.004508	0.94556	f924	Walking pace	1	FALSE	Blood
Blood_Vessel	COVAR	17359	0.00094013	0.0019084	0.008656	0.45676	f924	Walking pace	1	FALSE	Blood Vessel
Brain	COVAR	17359	0.019572	0.034007	0.0050044	4.613e-05	f924	Walking pace	0.00119938	TRUE	Brain
Breast	COVAR	17359	-0.013898	-0.026742	0.011612	0.88433	f924	Walking pace	1	FALSE	Breast
Cervix_Uteri	COVAR	17359	-0.00061843	-0.0012156	0.010409	0.52369	f924	Walking pace	1	FALSE	Cervix Uteri
